text,label
if you made it through this were not only able to start making money for yourself but sustain living that way all from home fuck these company corporate pig power to the people always,0
technically that is still turning back the clock dick head,0
and you are the govt stop thinking about world medium liberal gang or any optic whatsoever and act now already if this is what a person at your level is facing then shudder to think the plight of common people in bengal bengalburning,1
soldier of japan who ha dick head,0
you would be better off asking who doe not think he is a sleazy shitbag lmao,0
dick,0
why to blame only modi or government for this corona mess when we all are equally responsible narendramodi covidsecondwaveinindia coronavirus indiacovidcrisis,1
the report on that filed from india regarding the dire covid catastrophe wa absolutely riveting devastatingly sadand some of the best and most important reporting you will see do not look away indiacovidcrisis,1
sorry we will not why canot your raise your voice for thousand of people who died due to bed crisis and oxygen are you people trying to divert this situation and saving modi resignpmodi this time it will not work out and even bhakths a,0
people are dying even in village where there is just one doctor for the entire village loss of livelihood all around is pushing thousand to poverty every single day this is dehumanizing help in your own capacity a much a you can no hope in the system indiacovidcrisis,1
it is disappointing to see ohio will give initial vaccine dos to only of resident this week but total dos including second dos administered wednesday were have gotten at least one dose have finished ohio covidvacine covid,1
you are notmyprimeminister anymore your egoistic and populistic way have no place in delhi million are dying because of your inaction and you are focused on ruining delhi heritage get out of my city resignmodi,0
muslim should help cremate their dead because family too scared to perform the last rite of their loved one indiacovidcrisis dalits muslim dontrademarkt get respite in pandemic or without pandemic they dontrademarkt deserve human right or dignity forget about acknowledging them,0
yeah when she is finally done w you you want to pop back into her life fuck off,0
the situation all around u is extremely painfuli canot albe to see it any morepeople are loosing their hope only god know when will this all endgod will never forgive anyone who behaves a a opportunistic in this inhumane crisis wuhanvirus,1
prove it what evidence you have bloody hell prove kar,0
now i cant even get my tattoo because this man is being a cunt tf bro,0
found the little bastard now the fun begin,0
this is just so heartbreaking canot even imagine the pain and helplessness of a daughter bengalviolence is just an excuse to hide the ground reality of the nation shame on and it supporter indiacovidcrisis modimadedisaster indiansdyingmodienjoying,1
stop being a twat then,0
one thing i canot stand is people talking out the neck when they do not know shit,0
you all this is not it please give real help or spread awareness but this is just insulting indiacovidcrisis,1
it is heartbreaking to see osama struggling alone for the judicial killing of his father a boy whose father sacrificed everything for strongest political party of bihar yet no one standing beside him justiceforshahabudin osamashahab covid,1
wah yet another masterstroke people will die and to burn the dead they would need more wood superb resignmodi modimadedisater stop destroying the country stop destroying the planet modihataodeshbachao,0
i am tired of making other people comfortable with my existence until further notice kindly fuck off,0
bitch what,0
if you dontrademarkt give a damn then i dontrademarkt give no fuck,0
panem et circenses distract the angry mob with a shiny new solution that canot be implemented and thereby save your a from the coming revolution resignpmodi modihataodeshbachao bjphataodeshbachao bjpdestroysdemocracy,0
really like how this list started with dan shitbag,0
i am booked in to get my first dose of the covidvacine and truth be told i am a bit nervous first dog on the moon,1
it is an international shame for india a our pm care fund is totally mean care for pm and everyone know it that is why the global leader are not trusting this fund no more spinelesmodi spinelesbjp resignpmodi modithebigestcheater,0
just tired of all these deathsbrokenheart hurting me from inside hope good day will come backdisapointedfacemay god save u aloudlycryingfacefoldedhandscovidsecondwave covidindia covid oxygenemergency indiafightscorona indiafightscovid covidvacine covidindiahelp covidsecondwaveinindia indianedoxygen,1
is been very shameful for india that india is the largest production of all vaccine n medicine still india,0
the most greedy pm of india the most important thing in every country is education it can be stopped but not election exitmodi modidisasterforindia resignpmodi modifailsindia,0
roaming around aimlessly while his people are dying and all paid medium follow him what a shame for having such a leader in this st century modimadedisaster modiresign resignpmodi,0
modi government tied with twitter and removed some serious tweet which exactly show how they failed u thing are really bad when leader response to the criticism is to try and eradicate the criticism not the failure bjp govt completely failed u resignmodi india,0
have some real journalism from amc none of that motley fool bollock here no fud here is why people are buying amc stock investor guide,0
here is hoping that little shitbag get arrested i got arrested for threatening when i did not even make a direct threat and our law system is fubar if crap like this keep sliding,0
wee twat how can she even joke about that,0
you wontrademarkt but some random asshole will,0
india becoming the first country to see more than new daily coronavirus case shame on the ipl indiacovidcrisis indianedsoxygen,0
my first time seeing report about indiacovidcrisis this is very heart breaking,1
you guy make me sick to the core is that really your concern right now formation of alliance when the entire country is on it knee i guess news of dead body piling up people dropping dead on the st,1
fuck off this is you,0
oh they love this lol,1
modikavacinejumla mr modi where is your deshbhakt bjp worker now do you feel covid is attacking only the antinationals or antibjps shame a curse on,0
canot expect god to do all the work,1
why modi a prime minister is big disaster for india daily case daily death but he is still working on his image resignmodi makegadkaripm,0
is there rnbo lore on you know whotrademarks stream damn it itrademarkm in class anyway but fuck ran bow lore is ran bow lore,0
didi and her brother make bengal hell by terorthey are the only party who celebrate victory by terror shameonmamata tmcteror mamtaisterorist shameontmc tmcgons bengalburning bengalviolence fascism,0
this is so heartbreaking spinelesbjp bengalburning presidentsruleinbengal,1
people are dying left to go begging for basic medical resource no ventilator no o delayedno response from centre state govts clueless due to lack of aid from centre lie cover ups please for the country sake resignmodi let someone more competent do the job,0
what is bisexuality i only know dick,0
aw the fact that she did not text you for a year damn wearyface,1
bill gate emphatically opposes sharing covidvacine formula with india poor nation to accelerate their ability to manage d pandemic his concern is ipr capitalist profit deplorable but not shocking gate express the very essence of capitalism let d poor eat manure,0
my neurodivergent as hate the way those saniderm bandage feel in the crook of my elbow right now the tattoo barely touch the crease of my elbow but the bandage go into my ditch and it feel icky catch me taking like shower in day to make this shit peel off a soon a possible,0
very clueless bastard with no regard for humanity doom upon your generation is all i wish for,0
death threat to actor sidharth and his family for exposing bjp what can we expect from the party which file fir for asking oxygen istandwithsidharth modikavacinejumla,1
shout to all queen out there yo holding dude down yo bloody british bitch jus mad harry told about the queen and future king lol i have to laugh being racist cunt lol in my best british accent the cockney one lol,0
a bitch will fuck yo nigga yo op yo daddy and fav cuz but soon a you get bloody all hell break lose,0
no one is blaming because blame game start when you have an confusion we are saying we are not blaming it is wuhanvirus manufactured in wuhanlab,1
spinelesbjp no thing painful than this bajrangdal bengalburning vhp,1
chinese president xi jinping take back your virus microbe we do not want any more help from you chinesevirus,1
good player bit of a twat though,0
if narendra modi resigns before we all will forgive youso please resignpmodi nobody will shame you for your indecisiveness nobody will shame for your poor logical reasoning,1
bloody hell my dad is bigger than your dad,0
even today i saw people without mask or mask worn wrongly on the street enragedface covidindia indiacovidcrisis,1
dear foreign country you all are serving oxygen ambulance medical equipment etc but the most likely we want a prime minister if you can make it it is the big deal you have done to this country resignpmodi saveindia,0
it wa said that he wa suffering from covid but report showed he wa corona negative this is murder justiceforshahabudin,1
whom ever pushing this agenda of vaccinating everyonei say go fuck yourselves i do not need no vaccine coronavirus covid covidvacine fuckyouandyourvacine,0
class th student are depressed due to exam india trapped in pandemic economy failed what we can do now resignmodi resignpmodi,1
same happened with me people laughed said i have a misconception about this chinesevirus that is why i wear mask use sanitizer now those people are blaming modi ji huh,1
vacineshortage resignpmodi ordinary people want peace of mind you r making joke in every step it is not any kind stage show you are not be a pm nonsense preparation modi ji you are baseless decision and overconfidence what did in india maybe we canot revivemore year,0
it not exactly breaking news if he been selected in the squad no brainer it would be breaking news if he wasnt bloody hell euro hasnt even started yet this is england englandsquad southgate,1
shameless pm what else can we say shameonmodi resignpmodi resignpmodi,0
this is the reason communist government in china doe not treat you like human you were killed like dog in wuhankilings to contain the chinesevirus but unfortunately you escaped anyways better luck next time hope you do not survive next time,0
this is the most humble and deeply saddening piece i have read recently calling for resignmodi by arundhati roy we need a government via,1
damn you you have the government and instead of leading it your party is busy being an opposition resignmodi,0
everybody is creating awareness to get vaccinated but in actual vaccine are not at all available anywhere nowhere near to get registered covidvacine my colleague is looking for nd dose for his parent but he are not getting it cowin sad reality,1
damn damson asked for some transparency and they made him deactivate,1
going to start being more of an asshole to dickhead driver been inch from getting hit time in the past week now,0
this song is mid a fuck,0
bollock i need show to watch,0
india ha got the worst finance minister and health minister ever indiacovidcrisis resignpmodi modikavacinejumla covidemergency,0
while it is horrifying to know that india now ha m covid case in total there is now claim that the overall infection rate is slowing down i do not believe any part of that statement indiacovidcrisis covidindia,1
oh wow i had my first vaccine yesterday today i feel awful covidvacine,1
violence islam love behayayi it is totally unethical unislamic wow no wonder why west becoming islamphobe islamophobia,0
real jihadi avatar of she is worse than mughal invader we will not rest until we throw her out of democracy bengalburning bengalviolence presidentruleinbengal,0
god did you hear about that stupid guy who work at burger king who is a total asshole i think his name is arin,0
that is why the whole thing is a load of crap corporate bollock,0
for everyone wondering who would try to be the biggest asshole of the day itrademarks,0
to admit one mistake and to give up the power they posse take immense strength and willpower and these quality are clearly absent in our prime minister and his team they are so shamelesthey would use the pm private plane to flee to a different country facewithrolingeyes resignmodi,0
you are mom is my bloody bitch you must ask her,0
i do not know probs shag you are mum since that is what other gamers do,0
and to think there are people in our country who stupidly choose not to get vaccinated when million of people in the indiacovidcrisis would love to have your dose covid,1
nah i mean i am not trying to be a dick here i am just trying to make the point that it is not a easy a it feel you know getting a team to take on that contract right now might even be toughnot that i do not think marner ha valu,1
people are dying in india no vaccine or medical supply available that self obsessed modiji exported vaccine and oxygen supply anxiousfacewithsweat resignmodi indianlivesmater modikavacinejumla indiafightscorona,0
hard for india to strengthen climate ambition when many expert are diverted to helping covid sufferer find oxygen and hospital bed indiacovidcrisis,1
i am so sorry just wanted you to know that your identity is valid a fuck and do not let anyone tell you otherwise sending loverevolvingheartsrevolvingheartsrevolvingheartsrevolvingheartsrevolvingheartsrevolvinghearts,0
i think seungyoun brings out the whore in everyone he is in contact or influence because look at me right now,0
what is happening with covid in india is devastating please consider helping if you can indianedsoxygen indiacovidcrisis,1
i want to but the mr is a wanker for foreign show so ill have to watch it on my own,1
after year of wrong doings evil act against muslim and kashmiri fake medium reporting terrorizing farmer projecting false image of india to the world it all falling apart now indiacovidcrisis kashmirnedsoxygento,0
tax on o imported from other countriesnot utilising pm care fundconstructing new parliament do not you know how to ruleget off from the chairenough your inefficient rule please hand it over to any educated oneresignpmodi bjpd,0
let u get covidvacine approval for kid a soon a possible i do not trust my neighbor who are antivax microbedeniers my teenager is not going back until she can get her syringe the syringe should be mandatory for attendance if school are important they should be treated a such,1
not a good look for the eu this morning to be the major economy still siding with pharma profit rather than waiving covidvacine patent in a public health superemergency come on eu back a peoplesvacine take action here,1
we are very proud to say that we are from kerala but same time it is shame to tell to non indian that we are from indian only because of bjp resignpmodi,0
ridiculous that this modi govt is charging gst tax on essential like vaccine during a pandemic shameless parasite leeching off the indian public resignpmodi modihataodeshbachao modikavacinejumla bjpdestroysdemocracy bjphataodeshbachao,0
when someone dy we always had the liberty to blame god for taking away our dear one now the irony of india is we canot even blame narendramodi for his impaired vision covid resignpmodi,0
i love watching the nut falling out of my pussy and as smilingfacewithearts,0
damn white people and their dairy,0
smilingfacewithsunglases horny slut whore sexy bitch cunt fuck prostitute prostitution pussy hot beautiful gorgeous tit boob nipple blowjob body figure randi nude naked,1
holywiloughby really said she feel left out because she got no side effect from the covidvacine what a fucking airhead bet the people who died after it would take her place stupid bint thismorning,0
just spotted a cheater on the esea client truly unlucky need to ban this garfield motherfucker,0
please understand by now that power and money canot save life but good karma can please repent and take responsibility narendramodi bcnews yogijhotahai resignmodi,1
many thanks for live coverage thumbsup i am sorry i think you have had plenty of time today circle back girl run out of patience again regarding honest question on wuhanlab wuhanvirus origin have a nice day sunwithface,1
the court might have been a late to take cognizance of the situation in india but they are definitely doing their job but it appalling to see that the government need the judiciary to cajole it to action during a nationwide pandemic indiafightscovid indiacovidcrisis,1
fuck pre workout just piss me off,0
ranbo you incredible son of a bitch you have done it again my friend you have raised the bar for u all and did so flawlessly,0
this stuff is horrible imagine the smell how did idea get caught off guard they were doing better than u at one point indiacovidcrisis,1
dear india people let me come to your country and let we make this pandemic the end forgive me if right now i still canot pay my air plane ticket or my trip to india but believe me if i go to your country for week it will gone indiacovidcrisis turnbackcovid,1
i dontrademarkt know what wa going on at aj but i feel poor for him regarding this match this stained his legacy he would become the undefeated champion for long time wanker ruiz got a lucky day,0
such a shameless tweet resignpmodi modiresign modikavacinejumla modifailsindia,0
may allah protect the pls of india from this horror it heartbreaking pakistanstandwithindia indiacovidcrisis prayforindia indianedsoxygen staystrongindia,1
india is one of the worst affected by covid health infrastructure is swamped patient canot find hospital bed oxygen test ambulance pharmacy many innocent people are dying worthless his ministry resignmodi oxygencrisis vacineforal,0
what we are seeing in bengal is not acceptable there is no place for valance in democracy we have never witnessed a situation like this post election in india shameful please speak up bengalburning,1
china should apologize to people for unleashing it bio weapon wuhanvirus,0
government is not launching ad campaign on tvyoutubehotstar for covidvacine misinformation there is lot of misinformation going on whatsaptelegram and multiple social medium platform the cyber crime also need to work on this,1
praying for you guy have lot family in india also and it so scary not to be able to help much keep safe god will make it easier on indiacovidcrisis,1
what a load of absolute bollock do not agree with vaccination that is fine but stop with the conspiracy shite,0
if you have not gotten vaccinated yet do you plan on it i do plan on getting vaccinated but i am terribly terribly nervous about it i am on immunosuppressant med want to speak to my rheumatologist beforehand covid covidvacine,1
just seen my ex fianc for the first time in like year and all i can say is bullet were dodged karma ha punched his hairline back a fucker rolingontheflorlaughingrolingontheflorlaughing,0
india need to get rid of such citizen now itrademarks a chinesevirus thanks to people like you who get paid by enemy to say such filth shame on you are suara,0
this the meek we need fuck that slow singing shit he be doing,0
how much pain one heart can tolerate absolute hopelessness resignmodi,1
i am no biblical student but remember from my school infant day the parable of the father son and their donkey please yourself and those close to you forget about what anybody else think,1
babul supriyo is frustrated on his own performance and rejection by people he know what double engine comment by modi meant for the party double the lotgrapes are sour mamata in powerwinkingfacewithtonguewestbengalelections babulsupriyo bengal resignpmodi mamataswepsbengal,1
shame on people who are still supporting her including manorama keeping mum arestmamata bengalburning bengalviolence,0
they shag sheep well known fact la,0
because karma is a bitch babs time had finally come the wanker lgrw,0
shitbag talking about a year plan and giving it the big one about the sper league blah blah fuck him worst home record in club history dull negative shite if anyone doe not want to be here fuck them,0
