tweet,label
आजच्या जनता दरबारात जळगाव जिल्ह्यातील चाळीसगावचे रहिवासी माजी सैनिक सोनू महाजन भाजपचे तत्कालीन…,1
कुणी कविता करत असतं कुणी कविता जगत असतं कुणी कविता वाचत असतं कुणाला कविताच वाचवत असते पल्लवी,1
आम्हाला इतिहासातील औरंगजेबशी घेणे आमच्या कडे आमचा बेकायदेशीर रित्या आलेला हक्काचा औरंगजेब क…,1
गँभीर प्रकरण महाराष्ट्राची अवस्था बिकट भाषणात मोठे शब्द वापरणे ऐकले कृती करावी उद्योग भी…,1
कब्झा कन्नड चित्रपट लवकरच मराठी मध्ये डब्ब होऊन प्रदर्शित जर ह्या चित्रपटाला चांगला प्रतिसाद मिळाला आप…,1
जे अनधिकृत असेल जरुर पाडाव किंबहुना पाडलच पाहिजे फक्त आत्ता अचानक दिसल धक्कादायक लज्जास्पद जे शहरा…,1
जिथुन आशा वाढायला सुरुवात असते संपत्तीची तिथून दुर्दशा जीवनाची,1
मुंबई मधून बाहेर गेले महाराष्ट्रासाठी मराठीसाठी फायद्याचे ठरेल सर्वात महत्त्वाचे म्हणजे…,1
माझ्या माहितीमध्ये विद्वान म्हणे शिवाजी महाराजांनी शत्रूचा आदर करायला शिकवले आहे…,1
हो म्हणूनच मुंबई मुंबई पोलिसांचा अपमान झाल्यावरसुद्धा तेच भाजप…,1
कितीदा नव्याने तुला अठवावे डोळ्यांतले पाणी नव्याने वहावे कितीदा झुरावे तुझ्याच साठी कितीदा म्हणावे तुझे गीत ओठी कितीदा…,1
माझ्या भावाचे खाते महापे नवी मुंबई मध्ये गणेश टूर्स अँड ट्रॅव्हल्स नावाने शाखेची सेवा…,1
पवार समजणे सोपे नाहीये आजचा फोटो साहेब दादा ताई भाजप वा…,1
यांना फासावर गेलेला शेतकरी दिसत त्याचं उध्वस्त झालेलं घर दिसत हंबरडा फोडणारी लेकरं जनावरं दिसत ना…,1
ज्येष्ठ उच्चविद्याविभूषित अभिनेत्री लीला चिटणीस यांची जयंती हिंदी चित्रपटातील वात्सल्यसिंधू आई म्ह…,1
जोपर्यंत मराठी माणस सारख्या मराठीत सेवा देणाऱ्या कंपन्यांच्या वस्तू खरेदी करण बंद करत…,1
मुंबई पोलिसांवर अविश्वास दाखवून त्यांची बदनामी करणाऱ्या कंगना रानौतला विमान तळावरून घरी जाताना वाय प्लस दर्जाची सुरक्षा क…,1
आंदोलन बाळासाहेब आंबेडकर यांच्या नेतृत्वाखाली संघटनांना सोबत कामगारांचा तीव्र क…,1
खोती पद्धत रद्द शासनाला कूळ कायदा बनविण्यास भाग पाडणारे आगरी समाजातील नेते नारायण नागो प्रकल्पग्रस्ताना…,1
लाडक्या अवधूतदादाच्या युट्युब चॅनेलवर लवकरच येतेय सोन्याच्या मधानं भिजलंय लावणी तुमच्यासाठी नक्कीच इथे टा…,1
शेतकरी खरंच खुश दिसतोय याच उत्तम उदाहरण चार एकर कोथिंबीरीला दिवसात जेव्हा रूपये मिळाले,1
बोनस चित्रपटाच्या चित्रिकरणाच्या वेळेच्या गोष्टी माहित तुम्हाला,1
अजूनही हिंदी लादत भाषिकांवर आपण फोन कोरोनामुक्तीच्या हिंदीत…,1
माणुसकीचे असावे माणसाला छंद तेंव्हाच जोडले जातात मनाशी मनाचे रेशमी बंध ठिकाणी फॉलो अनफॉलो करणारेच…,1
माझ्यात मैत्रीण शोधतोय प्रेयसी बनण्याच्या प्रयत्नात दोघेही असफल संपणाऱ्या युद्धात …,1
कर्म कायम धर्मा पेक्षा श्रेष्ठ राहिलयं कारण धर्म तुम्ही देवाकडे याचना करता परंतु कर्म केल्यावर देवाला स्वत …,1
महाराष्ट्रातील सध्याच्या सरकारने नीटपणे बाजू मांडल्यानेच स्थगिती मिळाली विरोधकांनी म्हणायचे आधीच्या सरकारने तयारी…,1
पुणे नाशिक महामार्गावरील मोशी टोलनाक्यावर वाहनांच्या रांगा लागल्यात,1
महाराष्ट्राकडून ला बाबरी मज्जिद पाडण्यात ला महाराष्ट्र पोलिसाकडून मुंबईमधली बाबरी मशीद…,1
वर चीन सोबत स्थितीवर रक्षा मंत्री च लोकसभेत संबोधन जेवढे सांगता येईल तेवढे सांगितले अश्यावेळी मंद…,1
प्रत्येक आंदोलनाला इतिहास भविष्य असते स्वातंत्र्याची लढाई संयुक्त महाराष्ट्र चळवळ गोवा मुक्ती संग्राम व…,1
हिंदूस्थान माझा देश अशा कट व्याना इथे खपवून घेतले जाणार …,1
महत्वाचा प्रश्न रोजगार निर्मिती चे धोरण सातत्यपूर्ण प्रयत्न सरकारकडून व्हावे लागतात तरच पुढील वर्षांनी…,1
पाहा महाराष्ट्रातील आजचे आकडे,1
बघू आजचा पोल कोणाच्या बाजूने जास्त येतो,1
मामहापौर ताई आपण च्या पत्रकाराशी बोलताना हिंदीत संवाद साधला महाराष्ट्राची राज्यभाषा…,1
आवताण द्यायचं नाय नाअन दिलाय डांगीत पाय घालून पळायचं नायगाण ने गु अन हगणे चाले जुहू गत तुझी भेंडी,1
नासधूस झालेल पीक बिचारा ऊघड्या डोळ्यानं पाहतो अधिकारी येऊन पीकाचा पंचनामा निघून जातो नुकसान झा…,1
सोडले पंथातील लोक स्वत च्या पवित्र ग्रंथाबद्दल जागरुक असतातपठण करतातघरोघरी प्रत जतन करतात हिंदूत्ववा…,1
पैस्यांत शिक्षण एव्हड समजलं खुप झालं तुला खाजगीकरण आरक्षण वेगळे विषय हे…,1
त्यात राष्ट्रवादीची नाजायज औलाद विधवा विलापाला पुढे राहिली असतीसत्ता यांचीविषय राज्याचा अपे…,1
किती रंगवीशी रंग रंग भरले डोयात माझ्यासाठी शिरीरंग रंग खेये आभायात बहिणाबाई चौधरी…,1
रोहित धोनी नव्हे क्रिकेटर्स आयपीएल मध्ये पटकावतील सर्वाधिक षटकार मारण्याचा अवॉर्ड…,1
मराठवाडा विदर्भासाठी आनंद वार्ता कोटा अखेर रद्द,1
बालपणी ऑटोग्राफ देणाऱ्या क्रिकेटरने पेन नेल्यामुळे ढसाढसा रडलेल्या स्टारची गोष्ट वाचा,1
