text,task_1
 dying        liars i warned  yrs back  banned by sardar patel ignored ेरनहींभेड़ियापाललियाभक्तो ,1
सब लोग इतने पैसे डोनेट ही कर रहे हैं फिर भी आम आदमी को सिलेंडर और कन्सेंट्रेटर ख़ुद से ही ख़रीदना पड़ रहा है  तो पैसे कहाँ जा रहे हैं बीयर्ड ऑयल में    ,1
शेरए सिवान शहाबुद्दीन साहब से रिश्ता क्या لا إله إلا الله محمد رسول الله ,1
आसमानी किताब के नाजायज औलाद है,0
इसे कहते हैं दोगला पंती जिस सपा की दम पर  से  का सफर किया और माया अपनी इज्ज़त बचा पाई आज उसी सपा को मिटाने की बात कर रही हैं,1
बिहार की आम जनता को बहुत ही नाराजगी है केंद्र सरकार की सिस्टम से और लालू परिवार से यह दिन काले अक्षरों में लिखा जाएगा और आने वाला पीढ़ी इसे याद रखेगा जो एक संसद को अपमानित किया गया अपनी मिट्टी नहीं मिलने दिया आज हमारी बारी है तो कल तुम्हारी बारी होगी ,0
यही तेरी असलियत है कि चोरी रोज करेगा खेत मे लेकिन कभी भी उसे स्वीकार नहीं करेगा गजेटियर भी तुझे दे दिया तब भी तू कुत्ता का कुत्ता ही रहा अब भाग कुत्ते की औलाद जा कहीं भैंस गन्ने की चोरी कर ले सुबह घर कैसे चलेगा तेरा ,0
भोजपुरी का  टके का सिंगर किसी के लड़की का नाम लेकर फूहड़ गाना बना सकते है कभी सोचा है कि वो लड़की जब घर से बाहर निकलती है मोहल्ले में पान दुकान पे  dj में उसका नाम लेकर फूहड़ गाना बज रहा होता है तो कैसा महसूस करती होगी घर आके क्या सोचती होगी dop shiva chaudhary,0
 चुनाव नतीजों के बाद बंगाल में जारी हिंसा अप्रत्याशित बीजेपी कार्यकर्ताओं के ख़िलाफ़ जारी हिंसा राज्य प्रायोजित दोषियों के ख़िलाफ़ कड़ी कार्रवाई की जाए प्रकाश जावडेकर     ,1
मूर्ख लड़की,0
जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें ,1
यदि बाबरी ढ़ांचा गिरने पर तत्कालीन भाजपा द्वासित  राज्य सरकारों को बर्खास्त कर उन राज्यों में राष्ट्रपति शासन लगाया जा सकता है तो आज बिहार में लोकतंत्र के ढ़ांचे को तहसनहस कर के जिस प्रकार से नरसंहार चल रहा है वहां की राज्य सरकार को तुरंत बर्खास्त करना चाहिए ,1
what a shameless guy  दोगला  ,0
ृषिकानूनरद्दकरनेपड़ेंगे   ांसदलापताहै   ,1
वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी धृतराष्ट्र की तरह हैं ाष्ट्रपतिजीबंगालसंभालो  ,0
अमेरिका में तुम जैसे लोग दोगला राजनीति नहीं करते है इसलिए वहां मास्क नहीं लगाना पड़ रहा है,0
कोई यहाँ भी नज़र डाले :crying_face:  ,1
ालमोदीका ,1
सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने  नवनीत,0
जानवर भी हमें बहुत कुछ सिखाती है  किस तरह पानी को बचाना चाहिए ये हम सभी को इस हाथी से सीखने की जरूरत खूबसूरत दृश्य ,1
तिहाड़ जेल के स्पेशल सेल में कोरोना पहुंचा कैसे मुझे लगता हे ये सिस्टम का कोरोना है ,1
इसी टाइम पे वन नेशन वन इलेक्शन होना चाहिए था     ेंद्रमोदीग्लोबलपप्पू  ीदीओदीदी  ,1
कोविड टीकाकरण राजस्थान में गांवों में कैंप लगाए जाने से टीकाकरण मुहिम पर क्या असर पड़ा है रिपोर्ट    ,1
ये हरामी शिक्षक नहीं शिक्षक के नाम पर कलंक है सालों को फांसी से कम सजा नहीं होनी चाहिए,0
ये तस्वीर अपनी ज़ेहन में बिठा लेना ये तस्वीर को बर्बादी पर ले जाएगा  ,1
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
once in a century जैसा मनहुस पैदा होता है ुसमोदी का साया देश से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  मानवता केलिऐ  देशभक्त हो तो,0
मोदी तुम इस्तीफा दो हम तुम्हारे साथ है    ,1
अगर धरना देने से सब सही हो जाता तो कुरुक्षेत्र में श्री कृष्ण भी अर्जुन को यही सलाह देते पश्चिम बंगाल ,1
मुनाफ़िक़ दोस्तों से लाख अच्छे हैं खुले दुश्मन   ,1
मरहूम सहाबुद्दीन की लाश जैसे दिल्ली गेट ito कब्रिस्तान मे सुपुर्द ए खाक हुई:heart_exclamation: inshallah ऐसे ही बिहार में लालू तेरी पार्टी को सुपुर्दे खाक करेगी बिहार की जनता ,1
अगर जरा भी ज़मीर बचा है और जरा भी साहब से मोहब्बत थी तो  करो और पार्टी पद से इस्तीफ़ा दो चाहे bjp कियु न जॉइन करना पड़े वरना ढोंगी रोना बन्द करो  ,0
उप्र लागू नही होता क्यों कि मै जानवर जाती हूं अतः आप अब बताइए क्या कारण बनता है भगवान राम कहतेहैं सुनोमै चक्रवर्ती महाराज की दसरथ का पुत्र राम हूंअतः मुझे यह अधिकार है कि यदि कोई पसु समाज के द्रोही हिंसक व जीव को हानी पहुंचाता होतो राजा का अधिकार है कि उसै मार दिया जाय क्रमशः,0
मैं तुम्हारी यादों को कैसे block करूँ कमीने दिल में तो ये option ही नही है:writing_hand:,1
सब याद रखा जायेगा ,1
ाजदपार्टी बेवफ़ा औरतों जैसा है जितना जल्द हो सके सभी मुस्लिम विधायक और सांसद इस्तीफा दे दे ,1
आज शर्म से आंखें झुक गई को क्यों चुना रक्षा करने के लिए या महंगाई के लिए या रोजगार के लिए आपने क्या दिया मौत ,1
   ाहिसाबदो  ,1
किसी भी तरह का इस नंबर से reply नही हुआक्या मैंकल की तारीख़ में अगर कोई जान या जानवर करंट आने पर मरता हैजो अभी नही आया करंट कल को आ जाये तो कौन जिम्मेदारएक बड़े हादसे को रोकने के लिए आप से निवेदनऊपर बच्चे रहते हैंजैसा कि आप वीडियो में देख सकते हैं ,1
यह ख़ौफ़ की आहट हैं या मौत का सन्नाटा है   ,1
गांधी खानदान को गांधी की पड़पोती ने सिद्ध किया बस सात साल जेलयहां क्यों वेल पर घूम रहे है कमीने,0
जल गई लासे हो गई राख घर आके सोई गये फिर से ुलाम   ,1
 ाष्ट्रपतिजीबंगालसंभालो   ,1
लाला जी इतने फूहड़ हथकंडे अपना कर अपना नकली उत्पाद बेचने की इतनी बेशर्म प्रदर्शन के बदलें कोई और काम नही मिलता क्या ,1
सुअर तेरे कितने रूप,0
